id,original_timestamp,post_edit_timestamp,delta
8017,11 2 2022,11 2 2022,0
8035,11 2 2022,11 2 2022,0
8096,11 2 2022,11 2 2022,0
8112,11 2 2022,12 2 2022,1
8116,11 2 2022,11 2 2022,0
8117,11 2 2022,11 2 2022,0
8200,11 2 2022,11 2 2022,0
8201,11 2 2022,11 2 2022,0
8259,11 2 2022,11 2 2022,0
8331,11 2 2022,15 2 2022,4
8432,11 2 2022,11 2 2022,0
8433,11 2 2022,11 2 2022,0
8481,11 2 2022,13 2 2022,2
8497,11 2 2022,11 2 2022,0
8499,11 2 2022,11 2 2022,0
8549,11 2 2022,11 2 2022,0
8553,11 2 2022,11 2 2022,0
8565,11 2 2022,11 2 2022,0
8568,11 2 2022,11 2 2022,0
8622,11 2 2022,11 2 2022,0
8646,11 2 2022,14 2 2022,3
8652,11 2 2022,11 2 2022,0
8723,11 2 2022,11 2 2022,0
8725,11 2 2022,11 2 2022,0
8726,11 2 2022,11 2 2022,0
8727,11 2 2022,11 2 2022,0
8728,11 2 2022,11 2 2022,0
8729,11 2 2022,11 2 2022,0
8730,11 2 2022,11 2 2022,0
8732,11 2 2022,11 2 2022,0
8793,11 2 2022,11 2 2022,0
8794,11 2 2022,11 2 2022,0
8795,11 2 2022,13 2 2022,2
8873,11 2 2022,11 2 2022,0
8948,11 2 2022,11 2 2022,0
8951,11 2 2022,11 2 2022,0
8952,11 2 2022,11 2 2022,0
8954,11 2 2022,11 2 2022,0
9011,11 2 2022,11 2 2022,0
9071,11 2 2022,11 2 2022,0
9072,11 2 2022,12 2 2022,1
9094,11 2 2022,14 2 2022,3
9097,11 2 2022,14 2 2022,3
9098,11 2 2022,11 2 2022,0
9143,11 2 2022,11 2 2022,0
9156,11 2 2022,11 2 2022,0
9216,11 2 2022,12 2 2022,1
9232,11 2 2022,11 2 2022,0
9233,11 2 2022,12 2 2022,1
9271,11 2 2022,11 2 2022,0
9291,11 2 2022,12 2 2022,1
9419,11 2 2022,12 2 2022,1
9424,11 2 2022,11 2 2022,0
9425,11 2 2022,12 2 2022,1
9517,11 2 2022,12 2 2022,1
9535,11 2 2022,12 2 2022,1
9536,11 2 2022,12 2 2022,1
9538,11 2 2022,12 2 2022,1
9540,11 2 2022,14 2 2022,3
9601,11 2 2022,17 2 2022,6
9602,11 2 2022,12 2 2022,1
9604,11 2 2022,16 2 2022,5
9607,11 2 2022,25 2 2022,14
9614,11 2 2022,21 4 2022,69
9807,11 2 2022,13 2 2022,2
9830,11 2 2022,24 2 2022,13
9832,11 2 2022,12 2 2022,1
9898,11 2 2022,12 2 2022,1
9922,11 2 2022,12 2 2022,1
9944,11 2 2022,14 2 2022,3
9945,11 2 2022,14 2 2022,3
9979,11 2 2022,12 2 2022,1
10007,11 2 2022,12 2 2022,1
10015,11 2 2022,12 2 2022,1
10038,12 2 2022,12 2 2022,0
10044,12 2 2022,12 2 2022,0
10045,12 2 2022,12 2 2022,0
10082,12 2 2022,12 2 2022,0
10092,12 2 2022,12 2 2022,0
10104,12 2 2022,13 2 2022,1
10125,12 2 2022,12 2 2022,0
10128,12 2 2022,13 2 2022,1
10177,12 2 2022,12 2 2022,0
10198,12 2 2022,14 2 2022,2
10243,12 2 2022,13 2 2022,1
10244,12 2 2022,12 2 2022,0
10317,12 2 2022,13 2 2022,1
10325,12 2 2022,12 2 2022,0
10352,12 2 2022,14 2 2022,2
10366,12 2 2022,15 2 2022,3
10435,12 2 2022,13 2 2022,1
10479,12 2 2022,16 2 2022,4
10502,12 2 2022,12 2 2022,0
10518,12 2 2022,12 2 2022,0
10526,12 2 2022,12 2 2022,0
10527,12 2 2022,13 2 2022,1
10579,12 2 2022,13 2 2022,1
10599,12 2 2022,13 2 2022,1
10600,12 2 2022,13 2 2022,1
10649,12 2 2022,13 2 2022,1
10653,12 2 2022,12 2 2022,0
10654,12 2 2022,12 2 2022,0
10705,12 2 2022,12 2 2022,0
10720,12 2 2022,14 2 2022,2
10722,12 2 2022,12 2 2022,0
10750,12 2 2022,13 2 2022,1
10752,12 2 2022,13 2 2022,1
10762,12 2 2022,18 2 2022,6
10764,12 2 2022,12 2 2022,0
10769,12 2 2022,15 2 2022,3
10771,12 2 2022,13 2 2022,1
10772,12 2 2022,14 2 2022,2
10774,12 2 2022,16 2 2022,4
10775,12 2 2022,13 2 2022,1
10776,12 2 2022,13 2 2022,1
10777,12 2 2022,13 2 2022,1
10778,12 2 2022,14 2 2022,2
10779,12 2 2022,14 2 2022,2
10780,12 2 2022,13 2 2022,1
10782,12 2 2022,13 2 2022,1
10783,12 2 2022,15 2 2022,3
10786,12 2 2022,14 2 2022,2
10787,12 2 2022,14 2 2022,2
10788,12 2 2022,16 2 2022,4
10791,12 2 2022,13 2 2022,1
10792,12 2 2022,13 2 2022,1
10825,12 2 2022,12 2 2022,0
10892,12 2 2022,13 2 2022,1
10893,12 2 2022,14 2 2022,2
10896,12 2 2022,13 2 2022,1
10897,12 2 2022,12 2 2022,0
10922,12 2 2022,13 2 2022,1
10938,12 2 2022,13 2 2022,1
10941,12 2 2022,13 2 2022,1
10981,12 2 2022,14 2 2022,2
10991,12 2 2022,14 2 2022,2
10996,12 2 2022,13 2 2022,1
11002,12 2 2022,14 2 2022,2
11005,12 2 2022,3 3 2022,19
